year;week;id;mileage;speed3_100;acc1_100;acc2_100;acc3_100;drg1_100;drg2_100;drg3_100;side1_100;side2_100;side3_100;avg_daily_business_mileage;cor_avg_daily_morning_jam_mileage;cor_avg_daily_night_mileage;avg_speed;max_evening_jam_speed;max_morning_jam_speed;max_night_speed;max_speed;crash
2017;25;1523939;658.274;0;6.68421323;0.607781842;0;3.038507312;0.303849102;0;9.418571349;0.607839246;0;657;53.14;88.5;20.52843556;72;74;100;104;0
2017;25;1523942;452.86;0;1.325043267;0;0;2.649736122;0;0;14.13244187;0.441709491;0;421;26.82;100.04;17.38386602;80;58;80;80;0
2017;25;1523945;33.861;0;0;0;0;0;0;0;0;0;0;33;9.49;0.48;14.58606746;20;54;20;72;0
2017;25;1523948;1482.476;0;2.15871208;0.134963759;0;10.11820473;1.619048036;0;6.745461452;0.269891314;0;1477;368.94;191.62;33.76076652;98;110;90;110;0
2017;25;1523954;443.352;0;0;0;0;15.33746062;1.804737216;0.451046175;11.27794093;0.902532548;0;442;49.76;31.12;25.31867675;106;62;72;106;0
2017;25;1523957;423.54;0;45.56823875;6.138857945;0;1.888853263;0;0;5.902886717;0;0;376;95.67;38.155;24.03745418;68;102;72;102;0
2017;25;1523960;965.796;0;2.484965465;0;0;4.969842611;0.414251059;0.207124132;8.904615343;0.621380271;0;870;146.46;218.46;22.30187252;108;86;104;108;0
2017;25;1523963;78.251;0;7.667534779;1.277870749;0;1.277870749;0;0;12.77928775;1.278054913;0;76;15.1;0;10.00490053;0;62;0;64;0
2017;25;1523966;1468.242;0;0.204172124;0;0;6.538545422;0.408550563;0;2.860696018;0;0;1467;205.77;343.44;27.19633323;106;108;106;108;0
2017;25;1523969;376.242;0;2.923399288;0;0;1.329065793;0;0;9.036975428;0.531596326;0;374;0.68;318.59;30.90583355;0;24;108;108;0
2017;25;1523972;659.182;0;17.14258112;4.09581543;0;4.095794492;0.303195982;0;15.32195461;0.758332629;0.151733002;396;60.49;174.49;22.80388997;80;70;82;122;0
2017;25;1523984;913.45;0;4.597963313;0;0;1.094724042;0;0;0.218945996;0;0;226;23.04;201.9;31.96650334;0;66;96;98;0
2017;25;1523987;1259.622;0;13.33725341;1.111404091;0;6.350829263;0.476425286;0;5.874602371;0.317620415;0;1106;197.96;84.68;24.23552583;44;106;102;106;0
2017;25;1523990;236.093;0;27.53155415;3.388375034;0;9.741596706;0;0;18.63646999;1.270681143;0;208;53.89;0.07;15.68197047;88;64;20;90;0
2017;25;1523993;542.79;0;0;0;0;21.73941413;1.105460064;0;1.105294136;0;0;454;38.52;171.76;13.45182413;76;86;76;86;0
2017;25;1523996;462.518;0;15.5672952;3.675727881;0;2.810584561;0;0;15.13490553;1.94600179;0;403;16.92;124.87;24.00528844;110;64;64;110;0
2017;25;1524005;931.654;0;13.73904779;0.751245908;0;0.536525343;0;0;9.87513359;0;0;821;150.29;29.63;34.91644186;106;106;90;106;0
2017;25;1524008;81.162;0;4.928606404;2.464229984;0;3.696491412;0;0;4.92875284;0;0;80;15.75;30.02;23.30680776;0;0;88;88;0
2017;25;1524011;528.33;0;0;0;0;10.97828827;0.757233066;0;6.435526046;0;0;498;66.7;43.86;18.68755571;70;56;72;98;0
2017;25;1524020;1710.321;0;18.24202885;1.578558429;0;1.403306048;0;0;6.840869007;0.526198615;0;1707;211.77;7.92;37.63233601;112;112;110;114;0
2017;25;1524023;159.124;0;28.27960049;3.142153622;0;5.656095592;0;0;19.48154416;0.628422626;0.628422626;158;12.37;0;15.89620646;68;96;0;96;0
2017;25;1524026;498.364;0;10.63459345;1.806074933;0;4.414387179;0.200657543;0;3.812575551;0;0;488;46.98;12.86;23.33931447;90;104;66;104;0
2017;25;1524029;497.304;0;20.10812396;2.01091797;0;1.608691778;0;0;0;0;0;364;33.9;68.92;14.39754852;78;50;58;80;0
2017;25;1524032;458.946;0;1.089377718;0;0;0.435691925;0.217897635;0;5.883058286;1.089615218;0;442;124.9;0;28.15953367;106;104;0;106;0
2017;25;1524041;222.729;0;4.938585321;0;0;13.46925992;1.346998909;0;21.1018251;2.24474077;0;221;47.93;0;18.47593897;96;104;0;106;0
2017;25;1524044;650.909;0;5.223445687;0.153551028;0;2.458244901;0;0;2.457936002;0;0;620;158.17;32.95;27.97621699;66;66;64;98;0
2017;25;1524050;567.72;0;14.79581601;2.466158471;0;1.937344568;0.176280674;0;5.108252348;0.52848079;0;503;36.31;0;46.26123136;0;106;70;106;0
2017;25;1524053;496.003;0;0.604759306;0;0;11.29023615;1.00786317;0;4.838617486;0;0;424;108.28;41.81;23.80248316;76;80;82;82;0
2017;25;1524056;395.702;0;5.559921165;0.252686016;0;1.263668015;0.252686016;0;0.252429732;0;0;342;102.455;65.875;31.87255937;0;106;104;106;0
2017;25;1524065;119.331;0;52.79449166;4.190008648;0;3.35184962;0;0;13.40794949;0;0;102;9.955;0;12.11029827;0;54;66;66;0
2017;25;1524074;303.632;0;29.64102471;5.928156729;0;2.634746311;0.658691785;0;3.952116042;0;0;282;41.8;0;13.5857738;0;58;0;68;0
2017;25;1524077;386.304;0;19.67372199;3.62398132;0;10.35473392;0;0;33.1344994;2.588441072;0;298;54.18;42.1;15.51479239;82;82;70;82;0
2017;25;1524083;45.637;0;0;0;0;2.191256546;0;0;19.72094007;0;0;37;2.25;2.11;12.94386173;60;56;36;60;0
2017;25;1524089;278.176;0;15.45775612;1.797461384;0;0.359541873;0.359541873;0;13.66018406;1.797394887;0;237;35.35;18.77;24.29024775;0;84;86;86;0
2017;25;1524095;410.816;0;51.11772877;7.789162287;0;2.921038436;1.460561156;0;17.52606744;1.947591793;0;276;103.98;69.92;17.19181329;66;78;64;108;0
2017;25;1524098;293.17;0;10.23295685;1.023355637;0;6.480922233;0;0;22.85342271;2.046793731;0;255;27.79;27.27;19.38772747;64;68;102;102;0
2017;25;1524104;1114.87;0;6.637605846;0.179398638;0;0.179390803;0;0;0.89688549;0.179509649;0;1064;47.22;271.54;21.18137611;92;90;92;92;0
2017;25;1524107;554.476;0;21.10071846;8.476456514;0.180312356;1.44284422;0;0;5.230260037;0.180040362;0;553;123.66;7.56;36.40557592;62;68;102;102;0
2017;25;1524113;426.713;0;4.687108623;0.468980453;0;0.702961609;0;0;3.280599886;0.234552322;0;349;109.18;20.09;20.69639977;80;86;104;106;0
2017;25;1524116;313.04;0;1.916655175;0;0;21.08357618;1.277842218;0;8.944609673;0.638921109;0;193;3.94;0;18.11035399;0;50;56;100;0
2017;25;1524125;564.302;0;0.708678552;0;0;1.417581047;0;0;17.36674925;0.354482529;0;513;88.6;24.46;17.94354598;58;64;64;66;0
2017;25;1524128;586.354;5.798775869;1.023416168;0;0;28.31078402;1.023390228;0.34119433;15.00780395;0.341124058;0;550;18.68;175.55;24.5208698;0;118;56;118;0
2017;25;1524131;1424.556;0.140398423;7.72161123;2.527326662;0;2.386501007;0.421144494;0;3.229014531;0.701876767;0.561520266;1229;332.3;268.52;50.43553746;110;122;90;124;0
2017;25;1524137;221.37;0;2.710535994;0;0;15.81047221;1.355344216;0;8.131284366;0.903549429;0;220;62.7;105.9;21.93763204;122;106;76;122;0
2017;25;1524140;44.782;0;20.09733045;0;0;0;0;0;13.3979161;0;0;29;0;13.24;19.34571944;68;0;66;68;0
2017;25;1524143;50.472;0;1.981;0;0;0;0;0;11.888;0;0;0;0;0;39.1;0;0;0;102;0
2017;25;1524149;349.476;0;11.15957385;2.289242457;0;6.295206117;0;0;14.59328585;0;0;262;9.17;50.34;22.35429389;110;58;110;112;0
2017;25;1524152;274.834;0;1.091464651;0;0;11.27941187;1.455400947;0;6.549304868;0;0;271;91.05;4.87;14.40185467;40;78;30;98;0
2017;25;1524155;1003.3;0;0.598072399;0.199387039;0;7.375552315;0.996622653;0.199304637;2.990288028;0.199254743;0;851;53.48;298.42;20.99364735;98;70;98;98;0
2017;25;1524158;254.672;0;20.81080035;1.570718179;0;0.392908211;0.392505144;0;5.49731819;0.392908211;0.392908211;253;27.14;0;21.98147267;80;62;0;92;0
2017;25;1524167;279.251;0;18.26335429;1.432350914;0;1.0742978;1.074242506;0;13.60791049;1.074416117;0;250;14;35.77;18.27723222;78;58;78;78;0
2017;25;1524176;594.651;0;3.194908081;0.336021656;0;0.336021656;0.336021656;0;5.381242043;0.504363504;0.167993314;593;71.63;7.26;37.21145558;106;104;104;106;0
2017;25;1524179;256.153;0;10.15012418;0.390303514;0;1.561719281;0;0;12.10201548;0;0;215;47.31;13.5;15.32747664;62;82;62;82;0
2017;25;1524182;1728.46;0;5.553953178;0.578510689;0;0.578424105;0;0;4.512793008;0.115690313;0;1726;105;594.68;34.69609112;100;104;108;108;0
